Years,Oil(BBLs),Gas(MCF)
1993,1665249,25298021
1994,1492638,28130361
1995,1416234,23129847
1996,1420965,22936862
1997,1583799,21131225
1998,1524900,21924509
1999,1443620,21303040
2000,1369011,23508164
2001,1305728,23237086
2002,1189301,21089047
2003,1076369,26385283
2004,1020815,37647421
2005,997809,66962567
2006,1074491,94033790
2007,1201522,125458738
2008,1403057,108904397
2009,1374021,106395072
2010,1677862,81618214
2011,2549541,61264012
2012,4572464,56214246
2013,6148981,69748213
2014,11635491,93994664
2015,19406084,127729350
2016,34490597,167031426
2017,49221516,232660458
2018,76870328,316361937
2019,10748361,46476163
